period,C,J,N,S
6/2/2021 18:45,0.03,0.02,0.04,0.02
6/2/2021 19:00,,0.02,0.01,
6/2/2021 19:15,,0.02,,
6/2/2021 19:30,,0.02,,
6/2/2021 19:45,,0.01,,
6/2/2021 20:00,,0.02,,
6/2/2021 20:15,,0.01,,
6/2/2021 20:30,,0.01,,
6/2/2021 20:45,0.01,0.02,,
6/2/2021 21:00,,0.01,,
6/2/2021 21:15,,0.01,,
6/2/2021 21:30,,0.01,,
6/2/2021 21:45,,0.01,,
6/2/2021 22:00,,0.01,,
6/2/2021 22:15,,0.01,,
6/2/2021 22:45,,0.01,,0.01
6/2/2021 23:00,,0.01,0.01,
6/2/2021 23:15,0.01,,,
6/2/2021 23:30,,0.01,,
6/2/2021 23:45,0,0.01,0,0
6/3/2021 0:00,,0.01,,
6/3/2021 0:15,,0.01,,
6/3/2021 0:45,,0.01,,
6/3/2021 1:00,,0.01,,
6/3/2021 23:45,0,0,0,0
6/4/2021 23:45,0,0,0,0
6/5/2021 23:45,0,0,0,0
6/6/2021 23:45,0,0,0,0
6/7/2021 12:00,,,0.01,0.01
6/7/2021 12:15,,,0.01,
6/7/2021 14:30,0.01,,,
6/7/2021 14:45,0.07,,0.03,
6/7/2021 15:00,,0.03,,
6/7/2021 15:15,0.06,0.04,,
6/7/2021 15:30,,0.03,0.01,
6/7/2021 15:45,,0.02,,
6/7/2021 23:45,0,0,0,0
6/8/2021 6:45,,0.04,,
6/8/2021 8:30,,,0.01,
6/8/2021 23:45,0,0,0,0
6/9/2021 14:45,,,0.04,
6/9/2021 15:00,,,0.24,
6/9/2021 15:15,0.15,0.01,0.24,
6/9/2021 15:30,0.19,0.03,0.27,
6/9/2021 15:45,0.29,0.09,,0.03
6/9/2021 16:00,,0.01,,
6/9/2021 23:45,0,0,0,0
6/10/2021 16:45,,0.01,,
6/10/2021 23:45,0,0,0,0
6/11/2021 19:30,,0.01,,
6/11/2021 19:45,0.01,0.03,,
6/11/2021 20:00,0.01,,,0.01
6/11/2021 23:45,0,0,0,0
6/12/2021 3:15,,,0.01,
6/12/2021 19:30,0.09,0.2,0.17,
6/12/2021 19:45,0.13,0.17,0.02,0.18
6/12/2021 20:45,,,0.01,
6/12/2021 23:45,0,0,0,0
6/13/2021 0:30,,0.01,,0.01
6/13/2021 0:45,0.01,,,0.01
6/13/2021 23:45,0,0,0,0
6/14/2021 23:45,0,0,0,0
6/15/2021 19:15,,,0.01,
6/15/2021 23:45,0,0,0,0
6/16/2021 23:45,0,0,0,0
6/17/2021 19:45,,,0.01,
6/17/2021 23:45,0,0,0,0
6/18/2021 3:30,0.01,0.03,0.03,0.04
6/18/2021 3:45,,,,0.01
6/18/2021 4:30,,0.01,,
6/18/2021 4:45,0.04,0.06,0.06,0.05
6/18/2021 5:00,0.04,0.04,0.04,0.03
6/18/2021 5:15,0.01,0.01,0.02,0.02
6/18/2021 5:30,,,0.01,
6/18/2021 6:45,0.02,0.02,0.02,0.02
6/18/2021 7:00,0.03,0.05,0.04,0.02
6/18/2021 7:15,0.07,0.09,0.04,0.04
6/18/2021 7:30,0.15,0.12,0.17,0.14
6/18/2021 7:45,0.04,0.06,0.03,0.05
6/18/2021 8:00,0.03,0.03,0.05,0.03
6/18/2021 8:15,0.03,0.01,0.02,0.02
6/18/2021 9:00,,0.01,,
6/18/2021 13:45,,,0.01,
6/18/2021 23:45,0,0,0,0
6/19/2021 9:00,,0.01,,
6/19/2021 9:15,,0.01,,0.01
6/19/2021 9:30,,0.02,0.01,0.01
6/19/2021 9:45,,0.01,0.01,
6/19/2021 10:00,0.01,0.01,,
6/19/2021 10:15,,0.01,0.01,0.01
6/19/2021 10:30,0.01,0.03,0.02,0.02
